,min_samples_split,min_samples_leaf,max_features,max_depth
0,2,1,sqrt,15
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,5.0
0,4.0,1.0,0.333,10.0
0,3.0,1.0,0.333,13.0
0,2,1,sqrt,10
0,2.0,1.0,0.333,15.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,13.0
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,5.0
0,2.0,1.0,0.333,15.0
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,1.0,0.333,13.0
0,2.0,1.0,0.333,5.0
0,4.0,1.0,0.333,8.0
0,2.0,1.0,0.333,13.0
0,2.0,1.0,0.333,10.0
0,3.0,1.0,0.333,5.0
0,3.0,1.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2.0,1.0,0.333,13.0
0,2,1,sqrt,10
0,3.0,1.0,0.333,13.0
0,4.0,1.0,0.333,13.0
0,2.0,1.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,3,1,sqrt,8
0,3.0,1.0,0.333,8.0
0,2,1,sqrt,10
0,3.0,1.0,0.333,5.0
0,3.0,1.0,0.333,10.0
0,4,1,sqrt,13
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2,1,sqrt,10
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,13.0
0,2,1,sqrt,8
0,5.0,1.0,0.333,8.0
0,2.0,1.0,0.333,13.0
0,3.0,1.0,0.333,8.0
0,2.0,1.0,0.333,10.0
0,3,1,sqrt,10
0,2.0,1.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,2.0,2.0,0.333,8.0
0,3,1,sqrt,13
0,2.0,1.0,0.333,13.0
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2,1,sqrt,15
0,3,1,sqrt,15
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,15.0
0,3.0,1.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2,1,sqrt,5
0,2.0,1.0,0.333,5.0
0,4.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,5.0
0,2.0,1.0,0.333,13.0
0,4.0,1.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2,1,sqrt,13
0,3.0,1.0,0.333,10.0
0,3.0,1.0,0.333,5.0
0,3.0,1.0,0.333,10.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,8.0
0,2.0,1.0,0.333,10.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,5.0
0,2.0,1.0,0.333,13.0
0,3.0,1.0,0.333,5.0
0,2.0,1.0,0.333,13.0
0,2,1,sqrt,15
0,2.0,1.0,0.333,5.0
0,3.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,4.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,4,1,sqrt,8
0,3.0,1.0,0.333,5.0
0,2.0,1.0,0.333,8.0
0,2.0,1.0,0.333,8.0
0,3.0,1.0,0.333,13.0
0,4.0,1.0,0.333,5.0
0,2.0,1.0,0.333,5.0
0,2,1,sqrt,10
0,2.0,1.0,0.333,10.0
0,2.0,1.0,0.333,8.0
